app	review	rating	sentiment	vader_compound	theme
PayPal	very easy to use.	5	positive	0.4927	UX
PayPal	awesome ðŸ‘Œ	5	positive	0.6249	Other
PayPal	love my PayPal	5	positive	0.6369	Other
PayPal	I have been using PayPal for years now & have never had any complications with their service. Attempts at sending payments or receiving payments have always been successful. In-store & online purchases have always been successful & I never had any issues with returns/ refunds or customer service. PayPal and their employees have always been very professional, courteous, helpful, patient and understanding. Plus the rewards and benefits are amazing and beneficial.	5	positive	0.9791	Features
PayPal	I am very offended by the many ads on the front page. I dont go on the app to shop around. also I couldn't take screenshot of parts of the app which cause me trouble	2	negative	-0.6115	Other
PayPal	excellent	5	positive	0.5719	Other
PayPal	great app no hassle transfer money	5	positive	0.4404	Features
PayPal	keep getting emails from scammers about payments going through on an account that does not exist	1	neutral	0	Account
PayPal	doesn't want to payout money	3	negative	-0.0572	Features
PayPal	yeah I don't like it I can't even sign in now yeah I don't like it	1	neutral	0.0464	Account
PayPal	WORST APP I'VE USED THEY'RE A LOT OF RESTRICTIONS JS TO DISABLED THE ACCOUNT.	1	negative	-0.6249	Account
PayPal	easy po	5	negative	-0.1779	UX
PayPal	My go to, love it here.	5	positive	0.6369	Other
PayPal	one shot	4	neutral	0	Other
PayPal	l I am happy with PayPal it is a good card to use. when ordering bill instead of using your bank card. it is very useful	5	positive	0.8687	Features
PayPal	I love to use Paypal since it have collab with Facebook Viewpoints. I can easily get money from Facebook then can transfer to my bank.	5	positive	0.765	Features
PayPal	Its so tiring till now i cannot get the option of uploading mu Identification Card for verification now whats the help of an account with limitations	1	positive	0.4019	Account
PayPal	Bummed out that the Visa+ thing went away. I enjoy the free trial offers that I get for sending/requesting any amount of $ I wish the cash back option had a wider variety to choose from. Most of the stores that are on there arenâ€™t near me/the ones that are I don't go to enough (if at all) or i don't spend enough for it to make a difference. I don't care for the chat bot, but I don't care for most of them anywhere. I find it easier to just get whatever it is sorted out with a live representative	5	positive	0.549	Other
PayPal	Awful support, their contact pages are full of AI chat bots that just copy and paste FAQ articles that are unrelated to your prompt	1	negative	-0.0772	Other
PayPal	Trying to cash out from an app and pay pal is not working	2	negative	-0.1027	Other
PayPal	I'm trying to get a new account. that phone number is long ago defunct. there's no option to change it. kept trying customer service and got no where	1	negative	-0.4767	Account
PayPal	This App is Great. No Problems, This Far. Highly Recommend.	5	positive	0.4576	Other
PayPal	Happy	5	positive	0.5719	Other
PayPal	Are all PayPal games played online true?	5	positive	0.6369	Other
PayPal	very easy to sign up.	5	positive	0.4927	Account
PayPal	One star just because I need to. PayPal Africa is a fraud, playing a ponzi scam with people's money. This app has become inconvenient and unsafe to use. Release all our money, or we start a movement opposing your fraud on social media.	1	negative	-0.9169	Features
PayPal	customer service goes above and beyond to help when there is an improper charge	4	positive	0.4019	Other
PayPal	Difficult to sign up. How about using finger print?	1	negative	-0.3612	Account
PayPal	I love this app it's great	5	positive	0.8519	Other
PayPal	R5 scammed	2	neutral	0	Other
PayPal	SCAM, THIS COMPANY WILL STEAL YOUR MONEY. If i can give less than 1 star I WOULD. My business account got permanently disabled after giving my ID and Business detail. there's no detail for why, whatsoever. had my account really is suspicious why not notify or disable my account before my first payment with this account is received? Real, human customer service is as good as nonexistent, too. DO NOT USE PAYPAL.	1	negative	-0.842	Account
PayPal	Don't use paypal alot but when i do really like the convience.	5	positive	0.5704	Other
PayPal	good app india	5	positive	0.4404	Other
PayPal	I just find the linking with tny bank is a lil redundant but I get why l.wowzers statement still stands go figure	3	neutral	0	Other
PayPal	PayPal is it good card they have instead of keeping cash on you you can't use PayPal for anything	5	positive	0.4404	Features
PayPal	way too much going on in this app and it is also unoptimized enough that it took a full TWO MINUTES for the app to even load. stop filling my paypal with ads and "offers". editing to a 1 star until someone can explain why the paypal app is an entire gigabyte of space, while other apps like Venmo are only 300MB	1	positive	0.0772	Other
PayPal	pressed express checkout for a website.nit auto entered a incorrect address without asking me for confirmation. there customer support completely refuses to cancel the transaction or change the address.	1	positive	0.1119	Other
PayPal	OMG DO.NOT TRUST PAYPAL THEY ARE SCANDALOUS.I HAD MY ACCOUNT OPEN FOR A FEW MONTHS.BEFORE IT GOT RESTRICTED.AND I DID NOT EVEN DO ANYTHING WRONG NOT JUST THAT BUT I EVEN HAD $200.00 DOLLARS IN MY PAYPAL ACCOUNT THAT I WAS NEVER ABLE TO RECOVER.THEY LITTERLY DID NOT GIVE ME ANY EXPLANATION AS TO WHY MY ACCOUNT IS RESTRICTED.SO BE WARY OF THEM ...I HATE PAYPAL	1	negative	-0.7935	Account
PayPal	Fees are ridiculously expensive. Unfortunately this is the best way I can send small gifts to friends.	3	positive	0.5423	Other
PayPal	updated and now the app is stuck in a loop where it asks me to update but the update opens the app asking to update	1	negative	-0.128	Stability
PayPal	love it	5	positive	0.6369	Other
PayPal	excellent	5	positive	0.5719	Other
PayPal	cool	5	positive	0.3182	Other
PayPal	excellent convenient love it	5	positive	0.836	Other
PayPal	having big problems with sending money	2	negative	-0.4019	Features
PayPal	again this app came through when I needed it the most	5	neutral	0	Other
PayPal	very convenient and easy to use. though unable to change phone number on the app	3	positive	0.5367	UX
PayPal	Professional, secure and user friendly.	5	positive	0.6808	Other
PayPal	I absolutely love pay pal	5	positive	0.5879	Other
PayPal	great	5	positive	0.6249	Other
PayPal	I have been hacked through paypal hacked by Guardio for over 200 dollars today! my bank has stopped payment because the activity wad suspicious	3	negative	-0.8439	Features
PayPal	can seem to put me south Africa bank details in this app why ?????? ðŸ˜”And i can withdraw money	2	neutral	0	Features
PayPal	They waited until we had $100 in sales to require a ton of new information to prove our business is legitimate but non of the upload processes function. We are registered in Indiana, we pay sales tax. We do everything by the book. At least make this extra verification process actually functional. At this point PayPal is simply stealing from a small business. Disgusting...	1	negative	-0.7684	UX
PayPal	Easy to use	5	positive	0.4404	UX
PayPal	very reliable and fast	5	neutral	0	Other
PayPal	good ðŸ‘ðŸ¼ðŸ˜Š	4	positive	0.4404	Other
PayPal	I tried to use it after years of inactivity because my daughter's new dance class only uses PayPal for some ungodly reason, I updated my payment information and linked it to my current active card, and it won't let me use it. It says it is having trouble with the transfer. since I've never had an issue using my card anywhere else and have historically had issues using PayPal, that seems like yet another PayPal issue to me. now my kid can't take a class because PayPal can't figure out it's issues	1	positive	0.3612	Features
PayPal	I've had to save money by taking be able to take control money. I compromised by making purchases by over exactly $20backup. At 20 Left quit someone in Walmart my now by 695 per delivery driver delivery but using me down to control and tosend allows fraud to Walmart only has access to change to delivery only fraud linking byorder all a order placed Walmart access to willing by directly sending all orders Walmart allows me to still have anything taken alwikl ve ordering understandwill be overrids	1	negative	-0.8834	UX
PayPal	Keeps on deactivating account. Poor costumer service.	1	negative	-0.4767	Account
PayPal	PayPal very convenient and secure for online payments and money transfers. The app is easy to use and makes transactions faster and more reliable ðŸ’™ðŸ’³â€	5	positive	0.6771	UX
PayPal	easy to use	4	positive	0.4404	UX
PayPal	very easy to use.	5	positive	0.4927	UX
PayPal	works well	5	positive	0.2732	Other
PayPal	it will be good for world wide transactions	5	positive	0.4404	Other
PayPal	Great!	5	positive	0.6588	Other
PayPal	If theres a zero star i will put zero not 1 ðŸ‘ŽðŸ‘Ž Absolutely unacceptable. PayPal permanently limited my account even though I did NOTHING malicious or illegal. Honest users are being punished without proper explanation while customer support barely helps. This has caused unnecessary stress and frustration. If youâ€™re going to limit accounts, at least provide real transparency and fair investigation instead of treating loyal users like criminals!!	1	positive	0.7853	Account
PayPal	Terrible app and website, too many blockers on adding cards or linking to bank. Directs to a help page with nothing useful on it when something goes wrong. Nobody to talk to if not working, no wonder nobody uses PayPal anymore	1	negative	-0.6147	Features
PayPal	Take money and run. Cost more in phone call than money chasing for. Over $100 in call to chase $100 and still have not got the money. BEWARE. Also why does Paypal take money out of my second account and not the primary account. Again bad on Paypal part. Now uninstalled. Going to use Google wallet instead now and finding people outside Ebay as well. Buying direct. Thank you.	1	neutral	0.0258	Account
PayPal	PayPal has been great for transferring money to friends and family, as well as setting up secure payments through a variety of websites. It's been easy and intuitive to set up and use, and I've never had any issues with it.	5	positive	0.9274	UX
PayPal	excellent app, so convenient.	5	positive	0.5719	Other
PayPal	very user friendly and the for 0p	5	positive	0.539	Other
PayPal	App Ã¤ndert die Versandadresse zur Rechnungsadresse, ohne Warnung oder Information. Dies ist bereits mehrfach passiert, bis ich endlich den Fehler gefunden habe, er heiÃŸt PayPal. Danke fÃ¼r wochenlange Probleme und Ã„rgernisse. Hoffentlich ist Wero bald im Onlinehandel Standard.	1	negative	-0.5994	Other
PayPal	MUDAH DAH CEPAT UNTUK DIGUNAKAN BAGI TUJUAN TRANSFER KEPADA KAWAN ...DAN SENANG UNTUK DIGUNAKAN	5	neutral	0	Features
PayPal	very user friendly	5	positive	0.539	Other
PayPal	informative	5	neutral	0	Other
